Stream no: 56--------------------------------------
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 11 2200
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 5 576
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1653--------------------------------------
12 2997 17 4025
4 408 28 2872
0 0 0 0
0 0 0 0
1 96 4 392
0 0 0 0
1 96 3 400
0 0 0 0
0 0 0 0
1 96 18 2704
0 0 0 0
0 0 0 0
0 0 0 0
1 96 2 216
0 0 0 0
1 96 3 496
Stream no: 1734--------------------------------------
12 2997 17 4025
4 408 35 4408
0 0 0 0
0 0 0 0
1 96 4 384
0 0 0 0
0 0 0 0
1 96 3 496
0 0 0 0
1 96 11 2184
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 2 216
0 0 0 0
0 0 0 0
1 96 3 352
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 7 752
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 5 528
0 0 0 0
0 0 0 0
0 0 0 0
1 96 3 496
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1736--------------------------------------
12 2997 17 4025
